run_at,batch_start,batch_end,records,seconds,status,detail
2026-07-25T02:12:27.077512+00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,287182,27.7,success,
2026-07-25T02:12:52.087116+00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,240436,24.5,success,
2026-07-25T02:13:13.064314+00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,266605,20.5,success,
2026-07-25T02:13:45.594922+00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,267564,31.8,success,
2026-07-25T02:14:27.806544+00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,283982,40.5,success,
2026-07-25T02:15:39.935735+00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,306200,68.6,success,
2026-07-25T02:16:19.351602+00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,298938,36.3,success,
2026-07-25T02:17:13.231407+00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,284822,52.3,success,
2026-07-25T02:18:08.970188+00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,306770,55.1,success,
2026-07-25T02:18:43.234554+00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,306802,33.6,success,
2026-07-25T02:19:25.946615+00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,293516,42.0,success,
2026-07-25T02:19:59.201884+00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,313949,32.7,success,
2026-07-25T02:20:41.138192+00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,348181,41.3,success,
2026-07-25T02:21:06.687972+00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,255363,24.9,success,
2026-07-25T02:21:36.359134+00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,281225,29.1,success,
2026-07-25T02:22:20.306818+00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,272548,43.3,success,
2026-07-25T02:23:06.522317+00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,295057,45.7,success,
2026-07-25T02:23:44.505996+00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,306442,37.4,success,
2026-07-25T02:24:26.335271+00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,315878,41.2,success,
2026-07-25T02:24:56.536340+00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,304038,29.6,success,
2026-07-25T02:25:32.040528+00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,302683,34.9,success,
2026-07-25T02:26:14.868327+00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,336612,41.6,success,
2026-07-25T02:26:56.003768+00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,304905,40.5,success,
2026-07-25T02:27:30.538539+00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,332106,33.9,success,
2026-07-25T02:28:10.555572+00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,351047,39.1,success,
2026-07-25T02:28:40.149252+00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,332154,26.7,success,
2026-07-25T02:29:11.195479+00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,342389,29.5,success,
2026-07-25T02:29:32.261023+00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,302188,20.3,success,
2026-07-25T02:30:04.624037+00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,331976,31.7,success,
2026-07-25T02:30:39.942719+00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,334832,34.7,success,
2026-07-25T02:31:08.944587+00:00,2026-07-01 00:00:00,2026-07-24 19:11:58.713702,247266,28.5,success,
2026-07-27T16:57:53.738192+00:00,2026-07-23 00:00:00,2026-07-27 16:57:51.325470,32373,2.0,success,
2026-07-28T11:25:22.333974+00:00,2026-07-26 00:00:00,2026-07-28 11:25:17.934655,12251,3.9,success,
2026-07-29T11:31:34.353181+00:00,2026-07-27 00:00:00,2026-07-29 11:31:28.988812,11011,4.9,success,
2026-07-30T11:15:18.943088+00:00,2026-07-28 00:00:00,2026-07-30 11:15:16.842781,10617,1.6,success,
2026-07-31T11:33:31.496144+00:00,2026-07-29 00:00:00,2026-07-31 11:33:28.204321,13732,2.7,success,
2026-08-01T10:45:43.371134+00:00,2026-07-30 00:00:00,2026-08-01 00:00:00,9625,1.7,success,
2026-08-01T10:45:43.806198+00:00,2026-08-01 00:00:00,2026-08-01 10:45:41.161643,0,0.4,empty,
2026-08-02T10:45:36.985842+00:00,2026-08-01 00:00:00,2026-08-02 10:45:35.271294,777,1.7,success,
